vendor,kgCO2e_vendor,tonnesCO2e_vendor,total_kg_CO2e,total_tonnes_CO2e,pct_contribution,cumulative_pct_emissions,scope
Hoochy ‘Booch Kombucha,12.48,0.01,50490.47,50.49,0.02,99.67,2020 Scope 3: Upstream Transportation
Purity Life Health Products LP,11.79,0.01,50490.47,50.49,0.02,99.69,2020 Scope 3: Upstream Transportation
Artisan Bake Shoppe,11.6,0.01,50490.47,50.49,0.02,99.72,2020 Scope 3: Upstream Transportation
Bambu,9.72,0.01,50490.47,50.49,0.02,99.74,2020 Scope 3: Upstream Transportation
The Mill Factor,9.57,0.01,50490.47,50.49,0.02,99.75,2020 Scope 3: Upstream Transportation
Caboo Paper Products Inc.,9.57,0.01,50490.47,50.49,0.02,99.77,2020 Scope 3: Upstream Transportation
Solfeggio,9.11,0.01,50490.47,50.49,0.02,99.79,2020 Scope 3: Upstream Transportation
Bremner Foods,8.51,0.01,50490.47,50.49,0.02,99.81,2020 Scope 3: Upstream Transportation
Gentle Earth,7.87,0.01,50490.47,50.49,0.02,99.82,2020 Scope 3: Upstream Transportation
BobAli Foods,7.76,0.01,50490.47,50.49,0.02,99.84,2020 Scope 3: Upstream Transportation
Denman Island Chocolate,7.26,0.01,50490.47,50.49,0.01,99.85,2020 Scope 3: Upstream Transportation
Two Rivers Specialty Meats,6.88,0.01,50490.47,50.49,0.01,99.87,2020 Scope 3: Upstream Transportation
Sotavento,5.34,0.01,50490.47,50.49,0.01,99.88,2020 Scope 3: Upstream Transportation
Lita's Mexican Foods,5.21,0.01,50490.47,50.49,0.01,99.89,2020 Scope 3: Upstream Transportation
The Modern Pantry,5,0,50490.47,50.49,0.01,99.9,2020 Scope 3: Upstream Transportation
Nutmeg Mylk,4.93,0,50490.47,50.49,0.01,99.91,2020 Scope 3: Upstream Transportation
MiiR,4.9,0,50490.47,50.49,0.01,99.92,2020 Scope 3: Upstream Transportation
Golden Ears Cheesecrafters Ltd.,4.2,0,50490.47,50.49,0.01,99.93,2020 Scope 3: Upstream Transportation
The Workshop Vegetarian Cafe,3.78,0,50490.47,50.49,0.01,99.93,2020 Scope 3: Upstream Transportation
Blue Heron Creamery,3.69,0,50490.47,50.49,0.01,99.94,2020 Scope 3: Upstream Transportation
Albatross Designs,3.4,0,50490.47,50.49,0.01,99.95,2020 Scope 3: Upstream Transportation
Salty Cabbage,3.24,0,50490.47,50.49,0.01,99.95,2020 Scope 3: Upstream Transportation
Nature Derived Organics,2.73,0,50490.47,50.49,0.01,99.96,2020 Scope 3: Upstream Transportation
Hives for Humanity,2,0,50490.47,50.49,0,99.96,2020 Scope 3: Upstream Transportation
ULAT Dryer Balls,1.92,0,50490.47,50.49,0,99.97,2020 Scope 3: Upstream Transportation
Dom's Naturals,1.54,0,50490.47,50.49,0,99.97,2020 Scope 3: Upstream Transportation
Say Hello Sweets,1.35,0,50490.47,50.49,0,99.97,2020 Scope 3: Upstream Transportation
Squamish Water Kefir,1.32,0,50490.47,50.49,0,99.98,2020 Scope 3: Upstream Transportation
Tayybeh,1.3,0,50490.47,50.49,0,99.98,2020 Scope 3: Upstream Transportation
Naked Coconuts,1.28,0,50490.47,50.49,0,99.98,2020 Scope 3: Upstream Transportation
Sweet 'n Sassy Vegan Treats,1.22,0,50490.47,50.49,0,99.98,2020 Scope 3: Upstream Transportation
Onyx,0.88,0,50490.47,50.49,0,99.98,2020 Scope 3: Upstream Transportation
Two Daughters Bakeshop,0.88,0,50490.47,50.49,0,99.99,2020 Scope 3: Upstream Transportation
Coastie Craft,0.74,0,50490.47,50.49,0,99.99,2020 Scope 3: Upstream Transportation
Ranger Tea Crafters,0.7,0,50490.47,50.49,0,99.99,2020 Scope 3: Upstream Transportation
Spread'Em Kitchen Co.,0.64,0,50490.47,50.49,0,99.99,2020 Scope 3: Upstream Transportation
Bakers Supply House,0.64,0,50490.47,50.49,0,99.99,2020 Scope 3: Upstream Transportation
Home Grown Living Foods,0.6,0,50490.47,50.49,0,99.99,2020 Scope 3: Upstream Transportation
Plenty and Spare,0.6,0,50490.47,50.49,0,99.99,2020 Scope 3: Upstream Transportation
Sweet Earth Farms,0.44,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Pure Earth Superfoods,0.37,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
To Die For Fine Foods,0.35,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Susgrainable Health Foods Inc.,0.33,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Nuez Beverage Co.,0.21,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Zimt Chocolates,0.21,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
SPEC,0.16,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
UNFI,0.15,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Biota Fermentation,0.13,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Flourgirl Baking,0.11,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Parallel 49 Brewing,0.1,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Amoda Tea & Wellness Inc.,0.1,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Sea Smart,0.08,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Bite Snacks,0.06,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
To Live For Fine Foods,0.03,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Satya Organic Skin Care,0.02,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Keegan's Card Company,0.02,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Abeego Wraps,0.01,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
GLOW Chocolates,0.01,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Yellow Basket Baking,0.01,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Roasters Hot Sauce,0,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
Plantbase Food & Specialties,0,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
BC Eco Seed Co-Op,0,0,50490.47,50.49,0,100,2020 Scope 3: Upstream Transportation
